Domain,Area,Element,Item,Year,Unit,Value,Flag,Flag Description
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2012","t","0","M","Missing value (data cannot exist, not applicable)"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2013","t","2","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2014","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2015","t","18","X","Figure from international organizations"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2016","t","0.1","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2017","t","0.42","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2018","t","0.1","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2019","t","4.04","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2020","t","11.5","X","Figure from international organizations"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2021","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2012","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2013","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2014","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2015","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2016","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2017","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2018","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2019","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2020","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Eggs from other birds in shell, fresh, n.e.c.","2021","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2012","t","310","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2013","t","226","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2014","t","398","X","Figure from international organizations"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2015","t","100.51","X","Figure from international organizations"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2016","t","2.67","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2017","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2018","t","35.48","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2019","t","2.75","A","Official figure"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2020","t","1.15","X","Figure from international organizations"
"Supply Utilization Accounts (2010-)","Ghana","Export Quantity","Hen eggs in shell, fresh","2021","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2012","t","3594.6","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2013","t","3774.33","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2014","t","3701.99","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2015","t","4147.9","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2016","t","4260.65","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2017","t","4178.72","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2018","t","3764.12","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2019","t","4216.93","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2020","t","4204.4","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Loss","Hen eggs in shell, fresh","2021","t","4446.92","I","Imputed value"
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2012","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2013","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2014","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2015","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2016","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2017","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2018","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2019","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2020","","","",""
"Supply Utilization Accounts (2010-)","Ghana","Processed","Hen eggs in shell, fresh","2021","","","",""
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2012","t","0","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2013","t","3240","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2014","t","306","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2015","t","9766","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2016","t","8762","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2017","t","622","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2018","t","1812","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2019","t","4188","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2020","t","14.59","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2021","t","5003","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2012","t","4430.01","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2013","t","4206.45","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2014","t","4907.19","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2015","t","4565.76","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2016","t","4465.37","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2017","t","4451.21","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2018","t","4444.99","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2019","t","4555.69","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2020","t","4437.38","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Eggs from other birds in shell, fresh, n.e.c.","2021","t","4436.93","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2012","t","165147","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2013","t","91903","X","Figure from international organizations"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2014","t","93000.38","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2015","t","95249.18","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2016","t","104227.93","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2017","t","116200","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2018","t","125066.28","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2019","t","121987.26","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2020","t","113754.55","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2021","t","114239.15","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2012","t","25771","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2013","t","27360","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2014","t","29106.23","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2015","t","31174.37","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2016","t","32829.96","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2017","t","33808.51","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2018","t","32209.72","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2019","t","26193.36","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2020","t","32275.09","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2021","t","32519.64","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2012","t","353.85","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2013","t","410.59","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2014","t","530","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2015","t","470","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2016","t","400","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2017","t","650","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2018","t","750","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2019","t","1000","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2020","t","900","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2021","t","1450","E","Estimated value"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2012","t","56","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2013","t","9","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2014","t","14.22","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2015","t","9.89","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2016","t","6.03","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2017","t","0.32","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2018","t","3.26","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2019","t","5.05","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2020","t","2.75","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2021","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2012","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2013","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2014","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2015","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2016","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2017","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2018","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2019","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2020","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2021","","","",""
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2012","t","4824","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2013","t","5188","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2014","t","5959.92","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2015","t","3353.42","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2016","t","2580.25","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2017","t","1097.98","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2018","t","489.85","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2019","t","86.55","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2020","t","42.21","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2021","t","12.18","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2012","t","44388.76","E","Estimated value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2013","t","49448.03","E","Estimated value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2014","t","50707.77","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2015","t","54613.7","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2016","t","56695.71","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2017","t","58725.6","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2018","t","63942.72","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2019","t","69119.78","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2020","t","70371.34","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2021","t","71296.78","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2012","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2013","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2014","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2015","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2016","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2017","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2018","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2019","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2020","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2021","","","",""
